	feature
842	ENSMUSG00000010911
843	ENSMUSG00000010914
844	ENSMUSG00000010936
845	ENSMUSG00000011096
846	ENSMUSG00000011114
847	ENSMUSG00000011158
848	ENSMUSG00000011179
849	ENSMUSG00000011254
850	ENSMUSG00000011256
851	ENSMUSG00000011257
852	ENSMUSG00000011306
853	ENSMUSG00000011382
854	ENSMUSG00000011589
855	ENSMUSG00000011658
856	ENSMUSG00000011752
857	ENSMUSG00000011831
858	ENSMUSG00000011837
859	ENSMUSG00000011877
860	ENSMUSG00000011884
861	ENSMUSG00000011958
862	ENSMUSG00000011960
863	ENSMUSG00000012076
864	ENSMUSG00000012114
865	ENSMUSG00000012117
866	ENSMUSG00000012123
867	ENSMUSG00000012296
868	ENSMUSG00000012396
869	ENSMUSG00000012405
870	ENSMUSG00000012422
871	ENSMUSG00000012429
872	ENSMUSG00000012443
873	ENSMUSG00000012483
874	ENSMUSG00000012535
875	ENSMUSG00000012609
876	ENSMUSG00000012640
877	ENSMUSG00000012848
878	ENSMUSG00000013033
879	ENSMUSG00000013076
880	ENSMUSG00000013089
881	ENSMUSG00000013150
882	ENSMUSG00000013155
883	ENSMUSG00000013160
884	ENSMUSG00000013236
885	ENSMUSG00000013275
886	ENSMUSG00000013415
887	ENSMUSG00000013465
888	ENSMUSG00000013495
889	ENSMUSG00000013539
890	ENSMUSG00000013593
891	ENSMUSG00000013622
892	ENSMUSG00000013629
893	ENSMUSG00000013646
894	ENSMUSG00000013662
895	ENSMUSG00000013663
896	ENSMUSG00000013698
897	ENSMUSG00000013701
898	ENSMUSG00000013736
899	ENSMUSG00000013787
900	ENSMUSG00000013822
901	ENSMUSG00000013833
902	ENSMUSG00000013858
903	ENSMUSG00000013878
904	ENSMUSG00000013921
905	ENSMUSG00000013973
906	ENSMUSG00000013997
907	ENSMUSG00000014039
908	ENSMUSG00000014074
909	ENSMUSG00000014075
910	ENSMUSG00000014077
911	ENSMUSG00000014177
912	ENSMUSG00000014195
913	ENSMUSG00000014226
914	ENSMUSG00000014232
915	ENSMUSG00000014243
916	ENSMUSG00000014245
917	ENSMUSG00000014294
918	ENSMUSG00000014301
919	ENSMUSG00000014303
920	ENSMUSG00000014313
921	ENSMUSG00000014329
922	ENSMUSG00000014349
923	ENSMUSG00000014353
924	ENSMUSG00000014355
925	ENSMUSG00000014402
926	ENSMUSG00000014418
927	ENSMUSG00000014426
928	ENSMUSG00000014444
929	ENSMUSG00000014470
930	ENSMUSG00000014496
931	ENSMUSG00000014498
932	ENSMUSG00000014504
933	ENSMUSG00000014547
934	ENSMUSG00000014550
935	ENSMUSG00000014551
936	ENSMUSG00000014554
937	ENSMUSG00000014592
938	ENSMUSG00000014601
939	ENSMUSG00000014602
940	ENSMUSG00000014606
941	ENSMUSG00000014633
942	ENSMUSG00000014668
943	ENSMUSG00000014748
944	ENSMUSG00000014763
945	ENSMUSG00000014767
946	ENSMUSG00000014769
947	ENSMUSG00000014773
948	ENSMUSG00000014850
949	ENSMUSG00000014856
950	ENSMUSG00000014859
951	ENSMUSG00000014867
952	ENSMUSG00000014873
953	ENSMUSG00000014905
954	ENSMUSG00000014907
955	ENSMUSG00000014932
956	ENSMUSG00000014956
957	ENSMUSG00000014959
958	ENSMUSG00000014980
959	ENSMUSG00000015002
960	ENSMUSG00000015013
961	ENSMUSG00000015016
962	ENSMUSG00000015023
963	ENSMUSG00000015083
964	ENSMUSG00000015087
965	ENSMUSG00000015092
966	ENSMUSG00000015094
967	ENSMUSG00000015095
968	ENSMUSG00000015112
969	ENSMUSG00000015120
970	ENSMUSG00000015126
971	ENSMUSG00000015127
972	ENSMUSG00000015134
973	ENSMUSG00000015143
974	ENSMUSG00000015149
975	ENSMUSG00000015165
976	ENSMUSG00000015176
977	ENSMUSG00000015189
978	ENSMUSG00000015202
979	ENSMUSG00000015217
980	ENSMUSG00000015222
981	ENSMUSG00000015247
982	ENSMUSG00000015289
983	ENSMUSG00000015290
984	ENSMUSG00000015291
985	ENSMUSG00000015305
986	ENSMUSG00000015312
987	ENSMUSG00000015335
988	ENSMUSG00000015337
989	ENSMUSG00000015341
990	ENSMUSG00000015354
991	ENSMUSG00000015357
992	ENSMUSG00000015363
993	ENSMUSG00000015377
994	ENSMUSG00000015461
995	ENSMUSG00000015474
996	ENSMUSG00000015478
997	ENSMUSG00000015488
